model,compression_level,mean_reward,baseline_reward,performance_drop_percent,compression_ratio,noise_std
ppo_walker2d,none,1094.625557702049,1094.625557702049,0.0,1.0,0.0
ppo_walker2d,minimal,1099.9253945892206,1094.625557702049,-0.4841689333745768,1.2,0.001
ppo_walker2d,low,1097.1961016474256,1094.625557702049,-0.23483317443938875,2.0,0.005
ppo_walker2d,medium,1110.71940581514,1094.625557702049,-1.4702605836169895,3.0,0.02
ppo_walker2d,high,1156.3112301949304,1094.625557702049,-5.635321782763627,5.0,0.05
ppo_walker2d,high,1141.5460007238098,1094.625557702049,-4.286437740432538,5.0,0.05
sac_hopper,none,1963.1144328374055,1963.1144328374055,0.0,1.0,0.0
sac_hopper,minimal,1966.3405524223638,1963.1144328374055,-0.16433680742163193,1.2,0.001
sac_hopper,low,1962.9451683777206,1963.1144328374055,0.008622241111040803,2.0,0.005
sac_hopper,medium,1750.629870878301,1963.1144328374055,10.823850021416629,3.0,0.02
sac_hopper,high,896.365728092951,1963.1144328374055,54.33960888375822,5.0,0.05
sac_hopper,high,988.4496840477364,1963.1144328374055,49.648901382734394,5.0,0.05
